region_4,region_4,exchange_1,parameter,value
04ES,87SE,biomassTransport,capaExcResi,0
05ES,87SE,biomassTransport,capaExcResi,0
06ES,87SE,biomassTransport,capaExcResi,0
07ES,87SE,biomassTransport,capaExcResi,0
08ES,87SE,biomassTransport,capaExcResi,0
09ES,87SE,biomassTransport,capaExcResi,0
10ES,87SE,biomassTransport,capaExcResi,0
12PT,87SE,biomassTransport,capaExcResi,0
14FR,87SE,biomassTransport,capaExcResi,0
15FR,87SE,biomassTransport,capaExcResi,0
16FR,87SE,biomassTransport,capaExcResi,0
17FR,87SE,biomassTransport,capaExcResi,0
18FR,87SE,biomassTransport,capaExcResi,0
19FR,87SE,biomassTransport,capaExcResi,0
20FR,87SE,biomassTransport,capaExcResi,0
21FR,87SE,biomassTransport,capaExcResi,0
22FR,87SE,biomassTransport,capaExcResi,0
23FR,87SE,biomassTransport,capaExcResi,0
24FR,87SE,biomassTransport,capaExcResi,0
25FR,87SE,biomassTransport,capaExcResi,0
26FR,87SE,biomassTransport,capaExcResi,0
27FR,87SE,biomassTransport,capaExcResi,0
28BE,87SE,biomassTransport,capaExcResi,0
29LU,87SE,biomassTransport,capaExcResi,0
30NL,87SE,biomassTransport,capaExcResi,0
31DE,87SE,biomassTransport,capaExcResi,0
32DE,87SE,biomassTransport,capaExcResi,0
33DE,87SE,biomassTransport,capaExcResi,0
34DE,87SE,biomassTransport,capaExcResi,0
35DE,87SE,biomassTransport,capaExcResi,0
36DE,87SE,biomassTransport,capaExcResi,0
37DE,87SE,biomassTransport,capaExcResi,0
39CZ,87SE,biomassTransport,capaExcResi,0
40CZ,87SE,biomassTransport,capaExcResi,0
41PL,87SE,biomassTransport,capaExcResi,0
42PL,87SE,biomassTransport,capaExcResi,0
43PL,87SE,biomassTransport,capaExcResi,0
44PL,87SE,biomassTransport,capaExcResi,0
46SK,87SE,biomassTransport,capaExcResi,0
47CH,87SE,biomassTransport,capaExcResi,0
48CH,87SE,biomassTransport,capaExcResi,0
49AT,87SE,biomassTransport,capaExcResi,0
50AT,87SE,biomassTransport,capaExcResi,0
51AT,87SE,biomassTransport,capaExcResi,0
52IT,87SE,biomassTransport,capaExcResi,0
53IT,87SE,biomassTransport,capaExcResi,0
54IT,87SE,biomassTransport,capaExcResi,0
58HU,87SE,biomassTransport,capaExcResi,0
59RO,87SE,biomassTransport,capaExcResi,0
60RO,87SE,biomassTransport,capaExcResi,0
61RO,87SE,biomassTransport,capaExcResi,0
62HR,87SE,biomassTransport,capaExcResi,0
63BA,87SE,biomassTransport,capaExcResi,0
64ME,87SE,biomassTransport,capaExcResi,0
65RS,87SE,biomassTransport,capaExcResi,0
66BG,87SE,biomassTransport,capaExcResi,0
