region_4,region_4,exchange_1,exchange_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,source
26FR,28BE,gasGrid,undir,capaExcResi,35.382,costOprExc,0.0568,lossExc,0.0069,
48CH,52IT,gasGrid,undir,capaExcResi,24.705,costOprExc,0.0468,lossExc,0.0056,
25FR,47CH,gasGrid,undir,capaExcResi,17.341,costOprExc,0.0564,lossExc,0.0068,
58HU,62HR,gasGrid,undir,capaExcResi,3.044,costOprExc,0.1163,lossExc,0.014,
04ES,14FR,gasGrid,undir,capaExcResi,8.748,costOprExc,0.0813,lossExc,0.0098,
46SK,51AT,gasGrid,undir,capaExcResi,5.377,costOprExc,0.085,lossExc,0.0103,
01ES,12PT,gasGrid,undir,capaExcResi,1.555,costOprExc,0.0626,lossExc,0.0076,
08ES,13PT,gasGrid,undir,capaExcResi,5.482,costOprExc,0.0781,lossExc,0.0094,
60RO,66BG,gasGrid,undir,capaExcResi,0.884,costOprExc,0.0778,lossExc,0.0094,
30NL,31DE,gasGrid,undir,capaExcResi,173.319,costOprExc,0.0885,lossExc,0.0107,
30NL,33DE,gasGrid,undir,capaExcResi,55.55,costOprExc,0.0495,lossExc,0.006,
36DE,47CH,gasGrid,undir,capaExcResi,12.36,costOprExc,0.0528,lossExc,0.0064,
34DE,44PL,gasGrid,undir,capaExcResi,1.894,costOprExc,0.0907,lossExc,0.011,
32DE,44PL,gasGrid,undir,capaExcResi,0.884,costOprExc,0.0777,lossExc,0.0094,
58HU,59RO,gasGrid,undir,capaExcResi,2.026,costOprExc,0.097,lossExc,0.0117,
77LT,78LV,gasGrid,undir,capaExcResi,2.628,costOprExc,0.0577,lossExc,0.007,
31DE,38DK,gasGrid,undir,capaExcResi,4.53,costOprExc,0.0842,lossExc,0.0102,
