timestep_3,region_1,scenario_1,carrier_1,parameter,value
h0504,DE,s2002,electricity,dem,49.9355289007502
h0505,DE,s2002,electricity,dem,50.2943096182051
h0506,DE,s2002,electricity,dem,49.343533519304
h0507,DE,s2002,electricity,dem,49.3885706072161
h0508,DE,s2002,electricity,dem,50.2308439588645
h0509,DE,s2002,electricity,dem,52.1772958819414
h0510,DE,s2002,electricity,dem,57.1643535742491
h0511,DE,s2002,electricity,dem,62.3588535742491
h0512,DE,s2002,electricity,dem,65.1010266511721
h0513,DE,s2002,electricity,dem,66.4740266511721
h0514,DE,s2002,electricity,dem,67.7681859918315
h0515,DE,s2002,electricity,dem,68.7599950577656
h0516,DE,s2002,electricity,dem,68.2755898379853
h0517,DE,s2002,electricity,dem,67.0947464313919
h0518,DE,s2002,electricity,dem,65.8727203324908
h0519,DE,s2002,electricity,dem,65.2653961566667
h0520,DE,s2002,electricity,dem,65.7200568709524
h0521,DE,s2002,electricity,dem,68.1603837940293
h0522,DE,s2002,electricity,dem,68.9569607171062
h0523,DE,s2002,electricity,dem,67.5246200577656
h0524,DE,s2002,electricity,dem,63.9144991786447
h0525,DE,s2002,electricity,dem,60.9741969808425
h0526,DE,s2002,electricity,dem,59.1530500028205
h0527,DE,s2002,electricity,dem,55.3946626401831
h0528,DE,s2002,electricity,dem,52.2740046731502
h0529,DE,s2002,electricity,dem,50.6993034384051
h0530,DE,s2002,electricity,dem,49.748527339504
h0531,DE,s2002,electricity,dem,49.7935644274162
h0532,DE,s2002,electricity,dem,50.6358377790645
h0533,DE,s2002,electricity,dem,52.5822897021414
