timestep_5,region_3,technology_3,parameter,value
h0044,08ES,onshore_b,avaConv,0.24880621
h0045,08ES,onshore_b,avaConv,0.26318978
h0046,08ES,onshore_b,avaConv,0.26656486
h0047,08ES,onshore_b,avaConv,0.25965123
h0048,08ES,onshore_b,avaConv,0.24970676
h0001,09ES,onshore_b,avaConv,0.47229782
h0002,09ES,onshore_b,avaConv,0.46410587
h0003,09ES,onshore_b,avaConv,0.45473141
h0004,09ES,onshore_b,avaConv,0.44284385
h0005,09ES,onshore_b,avaConv,0.42915443
h0006,09ES,onshore_b,avaConv,0.41925998
h0007,09ES,onshore_b,avaConv,0.41226749
h0008,09ES,onshore_b,avaConv,0.3905411
h0009,09ES,onshore_b,avaConv,0.35343192
h0010,09ES,onshore_b,avaConv,0.33634368
h0011,09ES,onshore_b,avaConv,0.34344987
h0012,09ES,onshore_b,avaConv,0.35632938
h0013,09ES,onshore_b,avaConv,0.36953419
h0014,09ES,onshore_b,avaConv,0.38590009
h0015,09ES,onshore_b,avaConv,0.40076197
h0016,09ES,onshore_b,avaConv,0.4151138
h0017,09ES,onshore_b,avaConv,0.4271105
h0018,09ES,onshore_b,avaConv,0.43208411
h0019,09ES,onshore_b,avaConv,0.43157124
h0020,09ES,onshore_b,avaConv,0.43663687
h0021,09ES,onshore_b,avaConv,0.45525163
h0022,09ES,onshore_b,avaConv,0.47389033
h0023,09ES,onshore_b,avaConv,0.48102219
h0024,09ES,onshore_b,avaConv,0.47888371
h0025,09ES,onshore_b,avaConv,0.50633249
h0026,09ES,onshore_b,avaConv,0.50400013
h0027,09ES,onshore_b,avaConv,0.49897681
h0028,09ES,onshore_b,avaConv,0.49275862
h0029,09ES,onshore_b,avaConv,0.48725588
h0030,09ES,onshore_b,avaConv,0.48396447
h0031,09ES,onshore_b,avaConv,0.48020346
h0032,09ES,onshore_b,avaConv,0.47841534
h0033,09ES,onshore_b,avaConv,0.47203388
h0034,09ES,onshore_b,avaConv,0.44521749
h0035,09ES,onshore_b,avaConv,0.42040785
h0036,09ES,onshore_b,avaConv,0.41925993
h0037,09ES,onshore_b,avaConv,0.42910547
h0038,09ES,onshore_b,avaConv,0.44511639
h0039,09ES,onshore_b,avaConv,0.45978819
h0040,09ES,onshore_b,avaConv,0.46883815
h0041,09ES,onshore_b,avaConv,0.47402213
h0042,09ES,onshore_b,avaConv,0.47484037
h0043,09ES,onshore_b,avaConv,0.48021746
h0044,09ES,onshore_b,avaConv,0.49275728
h0045,09ES,onshore_b,avaConv,0.50312982
h0046,09ES,onshore_b,avaConv,0.50756186
h0047,09ES,onshore_b,avaConv,0.50756984
h0048,09ES,onshore_b,avaConv,0.50575684
h0001,10ES,onshore_b,avaConv,0.14214677
h0002,10ES,onshore_b,avaConv,0.140509
h0003,10ES,onshore_b,avaConv,0.13601067
h0004,10ES,onshore_b,avaConv,0.12933918
h0005,10ES,onshore_b,avaConv,0.12405397
h0006,10ES,onshore_b,avaConv,0.12250124
h0007,10ES,onshore_b,avaConv,0.12159965
h0008,10ES,onshore_b,avaConv,0.10869508
h0009,10ES,onshore_b,avaConv,0.0898893
h0010,10ES,onshore_b,avaConv,0.08475161
h0011,10ES,onshore_b,avaConv,0.08748026
h0012,10ES,onshore_b,avaConv,0.09375076
h0013,10ES,onshore_b,avaConv,0.10246548
h0014,10ES,onshore_b,avaConv,0.11011354
h0015,10ES,onshore_b,avaConv,0.11873302
h0016,10ES,onshore_b,avaConv,0.12447142
h0017,10ES,onshore_b,avaConv,0.12667731
h0018,10ES,onshore_b,avaConv,0.12714007
h0019,10ES,onshore_b,avaConv,0.12594523
h0020,10ES,onshore_b,avaConv,0.12515978
h0021,10ES,onshore_b,avaConv,0.12817948
h0022,10ES,onshore_b,avaConv,0.13639445
h0023,10ES,onshore_b,avaConv,0.14364469
h0024,10ES,onshore_b,avaConv,0.14762629
h0025,10ES,onshore_b,avaConv,0.3153186
h0026,10ES,onshore_b,avaConv,0.31147777
h0027,10ES,onshore_b,avaConv,0.30488523
h0028,10ES,onshore_b,avaConv,0.29888071
h0029,10ES,onshore_b,avaConv,0.29891052
h0030,10ES,onshore_b,avaConv,0.30471207
h0031,10ES,onshore_b,avaConv,0.30748432
h0032,10ES,onshore_b,avaConv,0.30507336
h0033,10ES,onshore_b,avaConv,0.29716967
h0034,10ES,onshore_b,avaConv,0.2804696
h0035,10ES,onshore_b,avaConv,0.26390856
h0036,10ES,onshore_b,avaConv,0.25599777
h0037,10ES,onshore_b,avaConv,0.25547243
h0038,10ES,onshore_b,avaConv,0.25789252
h0039,10ES,onshore_b,avaConv,0.26547568
h0040,10ES,onshore_b,avaConv,0.26940526
h0041,10ES,onshore_b,avaConv,0.26855519
h0042,10ES,onshore_b,avaConv,0.26538803
h0043,10ES,onshore_b,avaConv,0.26193587
h0044,10ES,onshore_b,avaConv,0.26873835
h0045,10ES,onshore_b,avaConv,0.27782747
h0046,10ES,onshore_b,avaConv,0.28712293
h0047,10ES,onshore_b,avaConv,0.29341417
h0048,10ES,onshore_b,avaConv,0.29931194
h0001,11ES,onshore_b,avaConv,0.23104043
h0002,11ES,onshore_b,avaConv,0.22613117
h0003,11ES,onshore_b,avaConv,0.22073247
h0004,11ES,onshore_b,avaConv,0.21418225
h0005,11ES,onshore_b,avaConv,0.20686578
h0006,11ES,onshore_b,avaConv,0.20123289
h0007,11ES,onshore_b,avaConv,0.19215718
h0008,11ES,onshore_b,avaConv,0.16844288
h0009,11ES,onshore_b,avaConv,0.1460505
h0010,11ES,onshore_b,avaConv,0.138919
h0011,11ES,onshore_b,avaConv,0.13943282
h0012,11ES,onshore_b,avaConv,0.1425563
h0013,11ES,onshore_b,avaConv,0.14805144
h0014,11ES,onshore_b,avaConv,0.15524741
h0015,11ES,onshore_b,avaConv,0.16659216
h0016,11ES,onshore_b,avaConv,0.18209903
h0017,11ES,onshore_b,avaConv,0.19928159
h0018,11ES,onshore_b,avaConv,0.21516544
h0019,11ES,onshore_b,avaConv,0.22648315
