timestep_6,region_1,carrier_1,scenario_1,parameter,value
h0083,BE,electricity,scr2099,dem,9.657780934808962
h0084,BE,electricity,scr2099,dem,9.955644948430516
h0085,BE,electricity,scr2099,dem,9.246417323189855
h0086,BE,electricity,scr2099,dem,9.327444895426702
h0087,BE,electricity,scr2099,dem,8.500927354511953
h0088,BE,electricity,scr2099,dem,9.491961008935846
h0089,BE,electricity,scr2099,dem,9.2550930764121
h0090,BE,electricity,scr2099,dem,9.511355760015839
h0091,BE,electricity,scr2099,dem,9.115244943624345
h0092,BE,electricity,scr2099,dem,8.711152761772484
h0093,BE,electricity,scr2099,dem,9.10889123024726
h0094,BE,electricity,scr2099,dem,8.497876489855331
h0095,BE,electricity,scr2099,dem,8.755033689214233
h0096,BE,electricity,scr2099,dem,8.248071021795823
h0001,BG,electricity,scr2099,dem,10.825612354207061
h0002,BG,electricity,scr2099,dem,9.742315997433444
h0003,BG,electricity,scr2099,dem,15.532261594816333
h0004,BG,electricity,scr2099,dem,17.67148109601631
h0005,BG,electricity,scr2099,dem,16.940121214383595
h0006,BG,electricity,scr2099,dem,9.482842579995777
h0007,BG,electricity,scr2099,dem,7.459359486157514
h0008,BG,electricity,scr2099,dem,7.45736213633794
h0009,BG,electricity,scr2099,dem,8.999032412741547
h0010,BG,electricity,scr2099,dem,8.30898225082862
h0011,BG,electricity,scr2099,dem,11.931298328841264
h0012,BG,electricity,scr2099,dem,12.937321974959493
h0013,BG,electricity,scr2099,dem,13.82458865586242
h0014,BG,electricity,scr2099,dem,13.542418529283067
h0015,BG,electricity,scr2099,dem,14.570610853357538
h0016,BG,electricity,scr2099,dem,14.457572373904778
h0017,BG,electricity,scr2099,dem,12.701801254531418
h0018,BG,electricity,scr2099,dem,9.838657696433556
h0019,BG,electricity,scr2099,dem,8.792693546767602
h0020,BG,electricity,scr2099,dem,5.901183301051776
h0021,BG,electricity,scr2099,dem,7.156661526512405
h0022,BG,electricity,scr2099,dem,8.797678988047622
h0023,BG,electricity,scr2099,dem,12.53980379277241
h0024,BG,electricity,scr2099,dem,15.1082543961218
h0025,BG,electricity,scr2099,dem,14.736994796299445
h0026,BG,electricity,scr2099,dem,11.086405384661594
h0027,BG,electricity,scr2099,dem,6.4677870561706525
h0028,BG,electricity,scr2099,dem,3.9863035611525204
h0029,BG,electricity,scr2099,dem,4.531686652282208
h0030,BG,electricity,scr2099,dem,3.6401369693086894
h0031,BG,electricity,scr2099,dem,4.863418050851773
h0032,BG,electricity,scr2099,dem,3.430194719161162
h0033,BG,electricity,scr2099,dem,3.5732698817742037
h0034,BG,electricity,scr2099,dem,3.0905677835981007
h0035,BG,electricity,scr2099,dem,4.348919946089817
h0036,BG,electricity,scr2099,dem,5.610916029687137
h0037,BG,electricity,scr2099,dem,5.528748242633876
h0038,BG,electricity,scr2099,dem,4.554216085290011
h0039,BG,electricity,scr2099,dem,3.2724640621540155
h0040,BG,electricity,scr2099,dem,3.0572415541732822
h0041,BG,electricity,scr2099,dem,2.6755780348156364
h0042,BG,electricity,scr2099,dem,2.7829582914005266
h0043,BG,electricity,scr2099,dem,2.722640217915143
h0044,BG,electricity,scr2099,dem,2.8265421542519817
h0045,BG,electricity,scr2099,dem,2.9169013323719817
h0046,BG,electricity,scr2099,dem,2.873995113750922
h0047,BG,electricity,scr2099,dem,2.8399760444413302
h0048,BG,electricity,scr2099,dem,2.593398690397884
h0049,BG,electricity,scr2099,dem,2.5453541719393358
h0050,BG,electricity,scr2099,dem,2.4111536117178503
h0051,BG,electricity,scr2099,dem,2.281790556912145
h0052,BG,electricity,scr2099,dem,2.204133157150342
h0053,BG,electricity,scr2099,dem,2.136465478642386
h0054,BG,electricity,scr2099,dem,2.2421055914236305
h0055,BG,electricity,scr2099,dem,2.212801502941365
h0056,BG,electricity,scr2099,dem,2.4623866373761816
h0057,BG,electricity,scr2099,dem,2.578251459912058
h0058,BG,electricity,scr2099,dem,2.9377300702261735
h0059,BG,electricity,scr2099,dem,3.03890880693186
h0060,BG,electricity,scr2099,dem,3.2613718413885655
h0061,BG,electricity,scr2099,dem,3.3589482963743293
h0062,BG,electricity,scr2099,dem,3.197574213832705
h0063,BG,electricity,scr2099,dem,3.318101758133648
h0064,BG,electricity,scr2099,dem,3.181854979472188
h0065,BG,electricity,scr2099,dem,3.285459591970392
h0066,BG,electricity,scr2099,dem,3.0979630597788645
h0067,BG,electricity,scr2099,dem,3.242924317233038
h0068,BG,electricity,scr2099,dem,3.3707990945189144
h0069,BG,electricity,scr2099,dem,3.332862539719559
h0070,BG,electricity,scr2099,dem,3.2971696399826564
h0071,BG,electricity,scr2099,dem,3.064120021577703
h0072,BG,electricity,scr2099,dem,2.9718976178159187
h0073,BG,electricity,scr2099,dem,2.6798239819133025
h0074,BG,electricity,scr2099,dem,2.5639972766278425
h0075,BG,electricity,scr2099,dem,2.4340157764754418
h0076,BG,electricity,scr2099,dem,2.322411247376789
h0077,BG,electricity,scr2099,dem,2.3029834866692727
h0078,BG,electricity,scr2099,dem,2.2282945236795864
h0079,BG,electricity,scr2099,dem,2.416257720426418
h0080,BG,electricity,scr2099,dem,2.492911005354565
h0081,BG,electricity,scr2099,dem,2.7697640756749937
h0082,BG,electricity,scr2099,dem,2.8329763992686328
h0083,BG,electricity,scr2099,dem,2.948765075067839
h0084,BG,electricity,scr2099,dem,3.018459334165666
h0085,BG,electricity,scr2099,dem,2.899100406376953
h0086,BG,electricity,scr2099,dem,2.948141472801603
h0087,BG,electricity,scr2099,dem,2.8065126141973105
h0088,BG,electricity,scr2099,dem,2.963730592321686
h0089,BG,electricity,scr2099,dem,3.216179164982598
h0090,BG,electricity,scr2099,dem,3.3250337799300134
h0091,BG,electricity,scr2099,dem,3.327155574324678
h0092,BG,electricity,scr2099,dem,3.009352996304373
h0093,BG,electricity,scr2099,dem,3.066748880268634
h0094,BG,electricity,scr2099,dem,2.9212190650241143
h0095,BG,electricity,scr2099,dem,2.900008560173746
h0096,BG,electricity,scr2099,dem,2.784154497270759
h0001,CH,electricity,scr2099,dem,35.009189323844716
h0002,CH,electricity,scr2099,dem,35.3789597317303
h0003,CH,electricity,scr2099,dem,33.410180459654065
h0004,CH,electricity,scr2099,dem,27.752339195724915
h0005,CH,electricity,scr2099,dem,21.28539378542996
h0006,CH,electricity,scr2099,dem,17.80250491112036
h0007,CH,electricity,scr2099,dem,18.94120729121269
h0008,CH,electricity,scr2099,dem,20.247187281242873
h0009,CH,electricity,scr2099,dem,21.214294236528055
h0010,CH,electricity,scr2099,dem,24.300614013995606
h0011,CH,electricity,scr2099,dem,25.103966317883526
h0012,CH,electricity,scr2099,dem,26.004972619483432
h0013,CH,electricity,scr2099,dem,23.34436699774529
h0014,CH,electricity,scr2099,dem,24.12310238793004
h0015,CH,electricity,scr2099,dem,21.594276019319715
h0016,CH,electricity,scr2099,dem,19.856384027263488
h0017,CH,electricity,scr2099,dem,18.688597393252238
h0018,CH,electricity,scr2099,dem,19.323655106465907
h0019,CH,electricity,scr2099,dem,19.44742606549837
h0020,CH,electricity,scr2099,dem,19.35907868047901
h0021,CH,electricity,scr2099,dem,20.461457719089076
h0022,CH,electricity,scr2099,dem,19.563772626139475
h0023,CH,electricity,scr2099,dem,19.395647490236698
h0024,CH,electricity,scr2099,dem,17.731357973290905
h0025,CH,electricity,scr2099,dem,17.342037976422567
h0026,CH,electricity,scr2099,dem,13.024998871588599
h0027,CH,electricity,scr2099,dem,9.301404959245666
