timestep_6,region_1,carrier_1,scenario_1,parameter,value
h0129,FR,electricity,scr1983,dem,43.59861279795341
h0130,FR,electricity,scr1983,dem,50.59616563298053
h0131,FR,electricity,scr1983,dem,46.65769762082303
h0132,FR,electricity,scr1983,dem,48.863905860131396
h0133,FR,electricity,scr1983,dem,49.33227113559985
h0134,FR,electricity,scr1983,dem,51.26812024215923
h0135,FR,electricity,scr1983,dem,48.678120375815226
h0136,FR,electricity,scr1983,dem,49.525113389454376
h0137,FR,electricity,scr1983,dem,53.10767001033821
h0138,FR,electricity,scr1983,dem,48.13178063477291
h0139,FR,electricity,scr1983,dem,47.55597832160326
h0140,FR,electricity,scr1983,dem,46.286705243509104
h0141,FR,electricity,scr1983,dem,46.68282272471647
h0142,FR,electricity,scr1983,dem,44.584418194407306
h0143,FR,electricity,scr1983,dem,45.882857915722894
h0144,FR,electricity,scr1983,dem,48.01200260000459
h0145,FR,electricity,scr1983,dem,47.051839123591165
h0146,FR,electricity,scr1983,dem,46.61882010532143
h0147,FR,electricity,scr1983,dem,50.243667841602786
h0148,FR,electricity,scr1983,dem,48.86719710887512
h0149,FR,electricity,scr1983,dem,49.75437558630601
h0150,FR,electricity,scr1983,dem,45.58646553329207
h0151,FR,electricity,scr1983,dem,49.02559985664158
h0152,FR,electricity,scr1983,dem,51.027057915945605
h0153,FR,electricity,scr1983,dem,58.42177094523578
h0154,FR,electricity,scr1983,dem,60.89592876031628
h0155,FR,electricity,scr1983,dem,56.96528918078644
h0156,FR,electricity,scr1983,dem,59.718203361316114
h0157,FR,electricity,scr1983,dem,66.08374434625686
h0158,FR,electricity,scr1983,dem,70.62492770462725
h0159,FR,electricity,scr1983,dem,71.96082506627646
h0160,FR,electricity,scr1983,dem,71.3888890432923
h0161,FR,electricity,scr1983,dem,77.72182415061664
h0162,FR,electricity,scr1983,dem,71.74777087616027
h0163,FR,electricity,scr1983,dem,69.55706949786679
h0164,FR,electricity,scr1983,dem,64.38526962159126
h0165,FR,electricity,scr1983,dem,67.08965926569122
h0166,FR,electricity,scr1983,dem,72.19550753869791
h0167,FR,electricity,scr1983,dem,78.2538310412781
h0168,FR,electricity,scr1983,dem,82.23679992420261
h0169,FR,electricity,scr1983,dem,77.60444352714586
h0001,NL,electricity,scr1983,dem,14.372334197027644
h0002,NL,electricity,scr1983,dem,13.968228638801637
h0003,NL,electricity,scr1983,dem,13.551393052654433
h0004,NL,electricity,scr1983,dem,13.061774542733298
h0005,NL,electricity,scr1983,dem,13.43666383228989
h0006,NL,electricity,scr1983,dem,14.352482404132742
