technology_3,region_2,parameter,value,source
resistiveHeatSpace,NO,lifeConv,30,
resistiveHeatSpace,NO,effConv,1,
resistiveHeatSpace,NO,costExpConv,388.0748675,
resistiveHeatSpace,NO,costOprConv,0.786873922,
gasBoilerSpace,PL,lifeConv,23.25378847,
gasBoilerSpace,PL,effConv,1.009522731,
gasBoilerSpace,PL,costExpConv,261.497691,
gasBoilerSpace,PL,costOprConv,11.26326743,
bioBoilerSpace,PL,lifeConv,20,
bioBoilerSpace,PL,effConv,0.885879211,
bioBoilerSpace,PL,costExpConv,366.1843063,
bioBoilerSpace,PL,costOprConv,19.72900467,
heatpumpAirSpace,PL,lifeConv,18.60303078,
heatpumpAirSpace,PL,costExpConv,1133.893623,
heatpumpAirSpace,PL,costOprConv,18.97197282,
heatpumpGroundSpace,PL,lifeConv,20,
heatpumpGroundSpace,PL,costExpConv,2245.524527,
heatpumpGroundSpace,PL,costOprConv,15.39283912,
resistiveHeatSpace,PL,lifeConv,30,
resistiveHeatSpace,PL,effConv,1,
resistiveHeatSpace,PL,costExpConv,408.5523958,
resistiveHeatSpace,PL,costOprConv,1.367084451,
gasBoilerSpace,PT,lifeConv,23.37416947,
gasBoilerSpace,PT,effConv,1.010245017,
gasBoilerSpace,PT,costExpConv,223.3579039,
gasBoilerSpace,PT,costOprConv,9.273979769,
bioBoilerSpace,PT,lifeConv,20,
bioBoilerSpace,PT,effConv,0.892148402,
bioBoilerSpace,PT,costExpConv,336.3453139,
bioBoilerSpace,PT,costOprConv,17.280612,
heatpumpAirSpace,PT,lifeConv,18.69933558,
heatpumpAirSpace,PT,costExpConv,2238.27928,
heatpumpAirSpace,PT,costOprConv,17.4354298,
heatpumpGroundSpace,PT,lifeConv,20,
heatpumpGroundSpace,PT,costExpConv,3890.504829,
heatpumpGroundSpace,PT,costOprConv,13.58530087,
resistiveHeatSpace,PT,lifeConv,30,
resistiveHeatSpace,PT,effConv,1,
resistiveHeatSpace,PT,costExpConv,339.9616085,
resistiveHeatSpace,PT,costOprConv,1.149402276,
gasBoilerSpace,RO,lifeConv,22.62329342,
gasBoilerSpace,RO,effConv,1.005739761,
gasBoilerSpace,RO,costExpConv,304.0404348,
gasBoilerSpace,RO,costOprConv,13.45555305,
bioBoilerSpace,RO,lifeConv,20,
bioBoilerSpace,RO,effConv,0.884693575,
bioBoilerSpace,RO,costExpConv,399.2383908,
bioBoilerSpace,RO,costOprConv,24.2693667,
heatpumpAirSpace,RO,lifeConv,18.09863474,
heatpumpAirSpace,RO,costExpConv,1391.345594,
heatpumpAirSpace,RO,costOprConv,21.13629236,
heatpumpGroundSpace,RO,lifeConv,20,
heatpumpGroundSpace,RO,costExpConv,2762.316704,
heatpumpGroundSpace,RO,costOprConv,17.59777395,
resistiveHeatSpace,RO,lifeConv,30,
resistiveHeatSpace,RO,effConv,1,
resistiveHeatSpace,RO,costExpConv,374.555592,
resistiveHeatSpace,RO,costOprConv,1.702255499,
gasBoilerSpace,RS,lifeConv,22.62329342,
gasBoilerSpace,RS,effConv,1.005739761,
gasBoilerSpace,RS,costExpConv,304.0404348,
gasBoilerSpace,RS,costOprConv,13.45555305,
bioBoilerSpace,RS,lifeConv,20,
bioBoilerSpace,RS,effConv,0.884693575,
bioBoilerSpace,RS,costExpConv,399.2383908,
bioBoilerSpace,RS,costOprConv,24.2693667,
heatpumpAirSpace,RS,lifeConv,18.09863474,
heatpumpAirSpace,RS,costExpConv,1448.694228,
heatpumpAirSpace,RS,costOprConv,21.13629236,
heatpumpGroundSpace,RS,lifeConv,20,
heatpumpGroundSpace,RS,costExpConv,2976.662358,
heatpumpGroundSpace,RS,costOprConv,17.59777395,
resistiveHeatSpace,RS,lifeConv,30,
resistiveHeatSpace,RS,effConv,1,
resistiveHeatSpace,RS,costExpConv,374.555592,
resistiveHeatSpace,RS,costOprConv,1.702255499,
gasBoilerSpace,SE,lifeConv,24.06658214,
gasBoilerSpace,SE,effConv,1.014399493,
gasBoilerSpace,SE,costExpConv,178.5027099,
gasBoilerSpace,SE,costOprConv,6.942973184,
bioBoilerSpace,SE,lifeConv,20,
bioBoilerSpace,SE,effConv,0.893411337,
bioBoilerSpace,SE,costExpConv,301.7172086,
bioBoilerSpace,SE,costOprConv,12.34739721,
heatpumpAirSpace,SE,lifeConv,19.25326571,
heatpumpAirSpace,SE,costExpConv,987.5917619,
heatpumpAirSpace,SE,costOprConv,15.16012112,
heatpumpGroundSpace,SE,lifeConv,20,
heatpumpGroundSpace,SE,costExpConv,1956.890373,
heatpumpGroundSpace,SE,costOprConv,11.2608271,
resistiveHeatSpace,SE,lifeConv,30,
resistiveHeatSpace,SE,effConv,1,
resistiveHeatSpace,SE,costExpConv,388.0748675,
resistiveHeatSpace,SE,costOprConv,0.786873922,
gasBoilerSpace,SI,lifeConv,23.1931238,
gasBoilerSpace,SI,effConv,1.009158743,
gasBoilerSpace,SI,costExpConv,247.0841653,
gasBoilerSpace,SI,costOprConv,10.50086819,
