timestep_3,region_1,scenario_1,carrier_1,parameter,value
h0417,BE,s2016,electricity,dem,12.5264171550868
h0418,BE,s2016,electricity,dem,12.6459721001418
h0419,BE,s2016,electricity,dem,12.759458363878
h0420,BE,s2016,electricity,dem,12.5917825397022
h0421,BE,s2016,electricity,dem,12.4990902320099
h0422,BE,s2016,electricity,dem,12.3429089133286
h0423,BE,s2016,electricity,dem,12.2957688034385
h0424,BE,s2016,electricity,dem,12.3489322649769
h0425,BE,s2016,electricity,dem,12.818888308933
h0426,BE,s2016,electricity,dem,13.0464130342077
h0427,BE,s2016,electricity,dem,12.6809501221198
h0428,BE,s2016,electricity,dem,12.1579830891527
h0429,BE,s2016,electricity,dem,11.6301218254165
h0430,BE,s2016,electricity,dem,11.7419569902516
h0431,BE,s2016,electricity,dem,11.7044047924494
h0432,BE,s2016,electricity,dem,11.1273567155264
h0433,BE,s2016,electricity,dem,10.7823845104374
h0434,BE,s2016,electricity,dem,10.4194229719758
h0435,BE,s2016,electricity,dem,10.2073254445033
h0436,BE,s2016,electricity,dem,10.1895465983495
h0437,BE,s2016,electricity,dem,10.499769125822
h0438,BE,s2016,electricity,dem,11.3185534664813
h0439,BE,s2016,electricity,dem,11.9974875324154
h0440,BE,s2016,electricity,dem,12.3940177521956
h0441,BE,s2016,electricity,dem,12.6454339609868
h0442,BE,s2016,electricity,dem,12.7649889060418
h0443,BE,s2016,electricity,dem,12.878475169778
h0444,BE,s2016,electricity,dem,12.7107993456022
h0445,BE,s2016,electricity,dem,12.6181070379099
h0446,BE,s2016,electricity,dem,12.4619257192286
h0447,BE,s2016,electricity,dem,12.4147856093385
h0448,BE,s2016,electricity,dem,12.4679490708769
h0449,BE,s2016,electricity,dem,12.937905114833
h0450,BE,s2016,electricity,dem,13.1654298401077
h0451,BE,s2016,electricity,dem,12.7999669280198
h0452,BE,s2016,electricity,dem,12.2769998950527
h0453,BE,s2016,electricity,dem,11.7491386313165
h0454,BE,s2016,electricity,dem,11.8609737961516
h0455,BE,s2016,electricity,dem,11.8234215983495
h0456,BE,s2016,electricity,dem,11.2463735214264
