timestep_6,region_1,carrier_1,scenario_1,parameter,value
h0096,FR,electricity,scr2094,dem,37.00183352484608
h0001,IT,electricity,scr2094,dem,105.54586518263113
h0002,IT,electricity,scr2094,dem,99.54737424102402
h0003,IT,electricity,scr2094,dem,86.3055133046486
h0004,IT,electricity,scr2094,dem,75.0888237750319
h0005,IT,electricity,scr2094,dem,69.27524457979632
h0006,IT,electricity,scr2094,dem,57.00933090142773
h0007,IT,electricity,scr2094,dem,76.98168864023089
h0008,IT,electricity,scr2094,dem,77.80613977086435
h0009,IT,electricity,scr2094,dem,99.15298230694887
h0010,IT,electricity,scr2094,dem,72.90813897886841
h0011,IT,electricity,scr2094,dem,74.77288921965501
h0012,IT,electricity,scr2094,dem,102.7167267982336
h0013,IT,electricity,scr2094,dem,140.11085646249202
h0014,IT,electricity,scr2094,dem,135.45952301401618
h0015,IT,electricity,scr2094,dem,107.81641276122443
h0016,IT,electricity,scr2094,dem,83.66253997084488
h0017,IT,electricity,scr2094,dem,79.77767433014432
h0018,IT,electricity,scr2094,dem,65.08747904789787
h0019,IT,electricity,scr2094,dem,55.09610843685629
h0020,IT,electricity,scr2094,dem,45.39280432517704
h0021,IT,electricity,scr2094,dem,41.19981751752105
h0022,IT,electricity,scr2094,dem,39.05207532101312
h0023,IT,electricity,scr2094,dem,43.88293366041014
h0024,IT,electricity,scr2094,dem,51.17119099058317
h0025,IT,electricity,scr2094,dem,47.74698346212987
h0026,IT,electricity,scr2094,dem,39.63121316188217
h0027,IT,electricity,scr2094,dem,30.72777246778798
h0028,IT,electricity,scr2094,dem,26.985924392089174
h0029,IT,electricity,scr2094,dem,25.648151268199147
h0030,IT,electricity,scr2094,dem,22.51586906702707
h0031,IT,electricity,scr2094,dem,24.690865708162974
h0032,IT,electricity,scr2094,dem,31.06052540695945
h0033,IT,electricity,scr2094,dem,37.79799247649366
h0034,IT,electricity,scr2094,dem,33.41991274268502
h0035,IT,electricity,scr2094,dem,30.624929946411143
h0036,IT,electricity,scr2094,dem,26.770965253347782
h0037,IT,electricity,scr2094,dem,30.065118834102837
h0038,IT,electricity,scr2094,dem,28.892965056037994
h0039,IT,electricity,scr2094,dem,25.70420680606053
h0040,IT,electricity,scr2094,dem,25.933624200769017
h0041,IT,electricity,scr2094,dem,20.88626907746597
h0042,IT,electricity,scr2094,dem,24.99469283843489
h0043,IT,electricity,scr2094,dem,22.204028554516135
h0044,IT,electricity,scr2094,dem,27.00322222767117
h0045,IT,electricity,scr2094,dem,26.974520039735346
h0046,IT,electricity,scr2094,dem,29.397302698515166
h0047,IT,electricity,scr2094,dem,28.763029554967797
h0048,IT,electricity,scr2094,dem,25.296776707862577
h0049,IT,electricity,scr2094,dem,22.744081825902114
h0050,IT,electricity,scr2094,dem,19.46221738624541
h0051,IT,electricity,scr2094,dem,18.940963124259515
h0052,IT,electricity,scr2094,dem,18.07937698761885
h0053,IT,electricity,scr2094,dem,18.670230758087044
h0054,IT,electricity,scr2094,dem,19.378300988062414
h0055,IT,electricity,scr2094,dem,20.404578708909373
h0056,IT,electricity,scr2094,dem,23.577632302213768
h0057,IT,electricity,scr2094,dem,23.07530485791979
h0058,IT,electricity,scr2094,dem,27.764012442803075
h0059,IT,electricity,scr2094,dem,28.313942555492353
h0060,IT,electricity,scr2094,dem,36.14763467206383
h0061,IT,electricity,scr2094,dem,37.82332886593542
h0062,IT,electricity,scr2094,dem,40.53971779927231
h0063,IT,electricity,scr2094,dem,40.289390768628266
h0064,IT,electricity,scr2094,dem,33.58765669728084
h0065,IT,electricity,scr2094,dem,35.35373042616038
h0066,IT,electricity,scr2094,dem,32.26986912785881
h0067,IT,electricity,scr2094,dem,39.337754454650174
h0068,IT,electricity,scr2094,dem,39.1792456568149
h0069,IT,electricity,scr2094,dem,42.86474380866622
h0070,IT,electricity,scr2094,dem,41.52366784701918
h0071,IT,electricity,scr2094,dem,36.18596250826608
h0072,IT,electricity,scr2094,dem,32.054586141579804
h0073,IT,electricity,scr2094,dem,25.934804854270748
h0074,IT,electricity,scr2094,dem,23.09890321413996
h0075,IT,electricity,scr2094,dem,19.559050039141646
h0076,IT,electricity,scr2094,dem,17.126232801622244
h0077,IT,electricity,scr2094,dem,16.112095945527656
h0078,IT,electricity,scr2094,dem,16.281609033155643
h0079,IT,electricity,scr2094,dem,18.581768030112883
h0080,IT,electricity,scr2094,dem,19.038932236602058
h0081,IT,electricity,scr2094,dem,24.25217491058796
h0082,IT,electricity,scr2094,dem,27.757157416353106
h0083,IT,electricity,scr2094,dem,36.484180772618004
h0084,IT,electricity,scr2094,dem,38.77105446642726
h0085,IT,electricity,scr2094,dem,39.8711073753102
h0086,IT,electricity,scr2094,dem,37.48468308830796
h0087,IT,electricity,scr2094,dem,30.748408005020938
h0088,IT,electricity,scr2094,dem,32.6070013869778
h0089,IT,electricity,scr2094,dem,30.856286428106262
h0090,IT,electricity,scr2094,dem,35.56025034608797
h0091,IT,electricity,scr2094,dem,33.53986164239791
h0092,IT,electricity,scr2094,dem,35.40882297668034
h0093,IT,electricity,scr2094,dem,34.46844095498183
h0094,IT,electricity,scr2094,dem,30.957795107171616
h0095,IT,electricity,scr2094,dem,28.31679484140246
h0096,IT,electricity,scr2094,dem,23.956126697745603
