timestep_2,region_4,technology_3,parameter,value,source
2020,02ES,gasBoilerProMedStock,capaConvResi,0.11769,
2025,02ES,gasBoilerProMedStock,capaConvResi,0.09808,
2030,02ES,gasBoilerProMedStock,capaConvResi,0.07846,
2035,02ES,gasBoilerProMedStock,capaConvResi,0.05885,
2040,02ES,gasBoilerProMedStock,capaConvResi,0.03923,
2045,02ES,gasBoilerProMedStock,capaConvResi,0.01962,
2020,02ES,gasEngineProMedStock,capaConvResi,0.25363,
2025,02ES,gasEngineProMedStock,capaConvResi,0.21136,
2030,02ES,gasEngineProMedStock,capaConvResi,0.16909,
2035,02ES,gasEngineProMedStock,capaConvResi,0.12682,
2040,02ES,gasEngineProMedStock,capaConvResi,0.08455,
2045,02ES,gasEngineProMedStock,capaConvResi,0.04228,
2020,02ES,oilBoilerProMedStock,capaConvResi,0.05772,
2025,02ES,oilBoilerProMedStock,capaConvResi,0.0481,
2030,02ES,oilBoilerProMedStock,capaConvResi,0.03848,
2035,02ES,oilBoilerProMedStock,capaConvResi,0.02886,
2040,02ES,oilBoilerProMedStock,capaConvResi,0.01924,
2045,02ES,oilBoilerProMedStock,capaConvResi,0.00962,
2020,02ES,hardcoalPlantProMedStock,capaConvResi,0.01379,
2025,02ES,hardcoalPlantProMedStock,capaConvResi,0.01149,
2030,02ES,hardcoalPlantProMedStock,capaConvResi,0.00919,
2035,02ES,hardcoalPlantProMedStock,capaConvResi,0.0069,
2040,02ES,hardcoalPlantProMedStock,capaConvResi,0.0046,
2045,02ES,hardcoalPlantProMedStock,capaConvResi,0.0023,
2020,02ES,oilPlantProMedStock,capaConvResi,0.0252,
2025,02ES,oilPlantProMedStock,capaConvResi,0.021,
2030,02ES,oilPlantProMedStock,capaConvResi,0.0168,
2035,02ES,oilPlantProMedStock,capaConvResi,0.0126,
2040,02ES,oilPlantProMedStock,capaConvResi,0.0084,
2045,02ES,oilPlantProMedStock,capaConvResi,0.0042,
2020,02ES,districtHeatSpace,capaConvResi,0.02732,
2025,02ES,districtHeatSpace,capaConvResi,0.01581,
2030,02ES,districtHeatSpace,capaConvResi,0.01048,
2035,02ES,districtHeatSpace,capaConvResi,0.00635,
2040,02ES,districtHeatSpace,capaConvResi,0.00286,
2020,02ES,bioBoilerSpaceStock,capaConvResi,0.94552,
2025,02ES,bioBoilerSpaceStock,capaConvResi,0.54719,
2030,02ES,bioBoilerSpaceStock,capaConvResi,0.36271,
2035,02ES,bioBoilerSpaceStock,capaConvResi,0.21969,
2040,02ES,bioBoilerSpaceStock,capaConvResi,0.09879,
2020,02ES,gasBoilerSpaceStock,capaConvResi,2.53949,
2025,02ES,gasBoilerSpaceStock,capaConvResi,1.46966,
2030,02ES,gasBoilerSpaceStock,capaConvResi,0.97418,
2035,02ES,gasBoilerSpaceStock,capaConvResi,0.59004,
