timestep_2,carrier_1,region_3,parameter,value,comment,source
2020,spaceHeat,88SE,capaDem,30.862,,
2020,industryHeat_high,89SE,capaDem,0.208,,
2020,industryHeat_low,89SE,capaDem,0.256,,
2020,industryHeat_medium,89SE,capaDem,1.021,,
2020,spaceHeat,89SE,capaDem,8.326,,
2020,industryHeat_high,90UK,capaDem,1.224,,
2020,industryHeat_low,90UK,capaDem,1.715,,
2020,industryHeat_medium,90UK,capaDem,2.396,,
2020,spaceHeat,90UK,capaDem,50.515,,
2020,industryHeat_high,91UK,capaDem,0.341,,
2020,industryHeat_low,91UK,capaDem,0.416,,
2020,industryHeat_medium,91UK,capaDem,0.594,,
2020,spaceHeat,91UK,capaDem,11.293,,
2020,industryHeat_high,92UK,capaDem,2.417,,
2020,industryHeat_low,92UK,capaDem,2.309,,
2020,industryHeat_medium,92UK,capaDem,3.489,,
2020,spaceHeat,92UK,capaDem,51.908,,
2020,industryHeat_high,93UK,capaDem,0.623,,
2020,industryHeat_low,93UK,capaDem,0.641,,
2020,industryHeat_medium,93UK,capaDem,0.943,,
2020,spaceHeat,93UK,capaDem,14.593,,
2020,industryHeat_high,94UK,capaDem,0.165,,
2020,industryHeat_low,94UK,capaDem,0.262,,
2020,industryHeat_medium,94UK,capaDem,0.375,,
2020,spaceHeat,94UK,capaDem,8.486,,
2020,industryHeat_high,95UK,capaDem,0.161,,
2020,industryHeat_low,95UK,capaDem,0.188,,
2020,industryHeat_medium,95UK,capaDem,0.284,,
2020,spaceHeat,95UK,capaDem,4.341,,
2020,industryHeat_high,96IE,capaDem,0.45,,
2020,industryHeat_low,96IE,capaDem,0.483,,
2020,industryHeat_medium,96IE,capaDem,0.69,,
2020,spaceHeat,96IE,capaDem,11.658,,
2020,industryHeat_high,98IT,capaDem,0.225,,
2020,industryHeat_low,98IT,capaDem,0.175,,
2020,industryHeat_medium,98IT,capaDem,0.151,,
2020,spaceHeat,98IT,capaDem,4.578,,
2020,industryHeat_high,99FR,capaDem,0.002,,
2020,industryHeat_low,99FR,capaDem,0.01,,
2020,industryHeat_medium,99FR,capaDem,0.007,,
2020,spaceHeat,99FR,capaDem,0.796,,
2025,industryHeat_high,01ES,capaDem,0.364,,
2025,industryHeat_low,01ES,capaDem,0.153,,
2025,industryHeat_medium,01ES,capaDem,0.308,,
2025,spaceHeat,01ES,capaDem,3.494,,
2025,industryHeat_high,02ES,capaDem,0.437,,
2025,industryHeat_low,02ES,capaDem,0.157,,
2025,industryHeat_medium,02ES,capaDem,0.337,,
2025,spaceHeat,02ES,capaDem,3.541,,
2025,industryHeat_high,03ES,capaDem,0.289,,
2025,industryHeat_low,03ES,capaDem,0.131,,
2025,industryHeat_medium,03ES,capaDem,0.274,,
2025,spaceHeat,03ES,capaDem,2.361,,
2025,industryHeat_high,04ES,capaDem,0.712,,
2025,industryHeat_low,04ES,capaDem,0.295,,
2025,industryHeat_medium,04ES,capaDem,0.653,,
