region_4,technology_3,carrier_1,parameter,value,source
15FR,resistiveHeatSpaceStock,,effConv,0.94,
15FR,coalBoilerSpaceStock,,effConv,0.98,
16FR,coalBoilerProHighStock,,effConv,0.7,
16FR,eBoilerProHigh,,effConv,1,
16FR,gasBoilerProHighStock,,effConv,0.7,
16FR,oilBoilerProHighStock,,effConv,0.98,
16FR,bioBoilerProLowStock,,effConv,0.7,
16FR,ccgtGasBackProLowStock,,effConv,0.99,
16FR,coalBoilerProLowStock,,effConv,0.7,
16FR,districtHeatPro,,effConv,0.8,
16FR,gasBoilerProLowStock,,effConv,0.7,
16FR,eBoilerProLow,,effConv,0.99,
16FR,gasEngineProLowStock,,effConv,1.045,
16FR,oilBoilerProLowStock,,effConv,0.964166667,
16FR,hardcoalPlantProLowStock,,effConv,0.85,
16FR,oilPlantProLowStock,,effConv,0.775,
16FR,bioBoilerProMedStock,,effConv,0.98,
16FR,bioGasEngineProMedStock,,effConv,0.875,
16FR,ccgtGasBackProMedStock,,effConv,0.99,
16FR,coalBoilerProMedStock,,effConv,0.7,
16FR,eBoilerProMed,,effConv,0.930833333,
16FR,gasBoilerProMedStock,,effConv,0.7,
16FR,gasEngineProMedStock,,effConv,1.045,
16FR,oilBoilerProMedStock,,effConv,0.954166667,
16FR,hardcoalPlantProMedStock,,effConv,0.85,
16FR,oilPlantProMedStock,,effConv,0.846002329,
16FR,districtHeatSpace,,effConv,0.8,
16FR,bioBoilerSpaceStock,,effConv,0.622687077,
16FR,gasBoilerSpaceStock,,effConv,0.957726617,
16FR,oilLiquidBoilerSpaceStock,,effConv,0.72,
16FR,resistiveHeatSpaceStock,,effConv,0.94,
16FR,coalBoilerSpaceStock,,effConv,0.98,
17FR,coalBoilerProHighStock,,effConv,0.7,
17FR,eBoilerProHigh,,effConv,1,
17FR,gasBoilerProHighStock,,effConv,0.7,
17FR,oilBoilerProHighStock,,effConv,0.98,
17FR,bioBoilerProLowStock,,effConv,0.7,
17FR,ccgtGasBackProLowStock,,effConv,0.99,
17FR,coalBoilerProLowStock,,effConv,0.7,
17FR,districtHeatPro,,effConv,0.8,
17FR,gasBoilerProLowStock,,effConv,0.7,
17FR,eBoilerProLow,,effConv,0.99,
17FR,gasEngineProLowStock,,effConv,1.045,
17FR,oilBoilerProLowStock,,effConv,0.964166667,
17FR,hardcoalPlantProLowStock,,effConv,0.85,
17FR,oilPlantProLowStock,,effConv,0.775,
17FR,bioBoilerProMedStock,,effConv,0.98,
17FR,bioGasEngineProMedStock,,effConv,0.875,
17FR,ccgtGasBackProMedStock,,effConv,0.99,
17FR,coalBoilerProMedStock,,effConv,0.7,
17FR,eBoilerProMed,,effConv,0.930833333,
17FR,gasBoilerProMedStock,,effConv,0.7,
17FR,gasEngineProMedStock,,effConv,1.045,
17FR,oilBoilerProMedStock,,effConv,0.954166667,
17FR,hardcoalPlantProMedStock,,effConv,0.85,
17FR,oilPlantProMedStock,,effConv,0.846002329,
17FR,districtHeatSpace,,effConv,0.8,
17FR,bioBoilerSpaceStock,,effConv,0.622687077,
17FR,gasBoilerSpaceStock,,effConv,0.957726617,
17FR,oilLiquidBoilerSpaceStock,,effConv,0.72,
17FR,resistiveHeatSpaceStock,,effConv,0.94,
17FR,coalBoilerSpaceStock,,effConv,0.98,
18FR,coalBoilerProHighStock,,effConv,0.7,
18FR,eBoilerProHigh,,effConv,1,
18FR,gasBoilerProHighStock,,effConv,0.7,
18FR,oilBoilerProHighStock,,effConv,0.98,
18FR,bioBoilerProLowStock,,effConv,0.7,
18FR,ccgtGasBackProLowStock,,effConv,0.99,
18FR,coalBoilerProLowStock,,effConv,0.7,
18FR,districtHeatPro,,effConv,0.8,
18FR,gasBoilerProLowStock,,effConv,0.7,
18FR,eBoilerProLow,,effConv,0.99,
18FR,gasEngineProLowStock,,effConv,1.045,
18FR,oilBoilerProLowStock,,effConv,0.964166667,
18FR,hardcoalPlantProLowStock,,effConv,0.85,
18FR,oilPlantProLowStock,,effConv,0.775,
18FR,bioBoilerProMedStock,,effConv,0.98,
18FR,bioGasEngineProMedStock,,effConv,0.875,
18FR,ccgtGasBackProMedStock,,effConv,0.99,
18FR,coalBoilerProMedStock,,effConv,0.7,
18FR,eBoilerProMed,,effConv,0.930833333,
18FR,gasBoilerProMedStock,,effConv,0.7,
18FR,gasEngineProMedStock,,effConv,1.045,
18FR,oilBoilerProMedStock,,effConv,0.954166667,
18FR,hardcoalPlantProMedStock,,effConv,0.85,
18FR,oilPlantProMedStock,,effConv,0.846002329,
18FR,districtHeatSpace,,effConv,0.8,
18FR,bioBoilerSpaceStock,,effConv,0.622687077,
18FR,gasBoilerSpaceStock,,effConv,0.957726617,
18FR,oilLiquidBoilerSpaceStock,,effConv,0.72,
18FR,resistiveHeatSpaceStock,,effConv,0.94,
18FR,coalBoilerSpaceStock,,effConv,0.98,
19FR,coalBoilerProHighStock,,effConv,0.7,
19FR,eBoilerProHigh,,effConv,1,
19FR,gasBoilerProHighStock,,effConv,0.7,
19FR,oilBoilerProHighStock,,effConv,0.98,
19FR,bioBoilerProLowStock,,effConv,0.7,
19FR,ccgtGasBackProLowStock,,effConv,0.99,
19FR,coalBoilerProLowStock,,effConv,0.7,
19FR,districtHeatPro,,effConv,0.8,
