timestep_3,region_1,scenario_1,carrier_1,parameter,value
h0471,FR,s2012,electricity,dem,62.540745101785
h0472,FR,s2012,electricity,dem,61.9802615853015
h0473,FR,s2012,electricity,dem,64.3280747721147
h0474,FR,s2012,electricity,dem,68.5987396072795
h0475,FR,s2012,electricity,dem,69.5092066402465
h0476,FR,s2012,electricity,dem,66.2065637831036
h0477,FR,s2012,electricity,dem,62.8703769699168
h0478,FR,s2012,electricity,dem,63.2611187281586
h0479,FR,s2012,electricity,dem,64.3576956512355
h0480,FR,s2012,electricity,dem,61.6758934534334
h0481,FR,s2012,electricity,dem,50.8225896326476
h0482,FR,s2012,electricity,dem,49.3331775447355
h0483,FR,s2012,electricity,dem,46.5769028194608
h0484,FR,s2012,electricity,dem,45.591237984296
h0485,FR,s2012,electricity,dem,47.4602654568234
h0486,FR,s2012,electricity,dem,51.7293149073729
h0487,FR,s2012,electricity,dem,56.1878204018784
h0488,FR,s2012,electricity,dem,58.1930401820982
h0489,FR,s2012,electricity,dem,59.3431500722081
h0490,FR,s2012,electricity,dem,59.5700456766036
h0491,FR,s2012,electricity,dem,59.6485346875927
h0492,FR,s2012,electricity,dem,59.7113918304498
h0493,FR,s2012,electricity,dem,57.9819742480322
h0494,FR,s2012,electricity,dem,55.9060676546256
h0495,FR,s2012,electricity,dem,53.919226995285
h0496,FR,s2012,electricity,dem,53.3587434788015
h0497,FR,s2012,electricity,dem,55.7065566656147
h0498,FR,s2012,electricity,dem,59.9772215007795
h0499,FR,s2012,electricity,dem,60.8876885337465
h0500,FR,s2012,electricity,dem,57.5850456766036
h0501,FR,s2012,electricity,dem,54.2488588634168
h0502,FR,s2012,electricity,dem,54.6396006216586
h0503,FR,s2012,electricity,dem,55.7361775447355
h0504,FR,s2012,electricity,dem,53.0543753469334
h0505,FR,s2012,electricity,dem,50.4067855185476
h0506,FR,s2012,electricity,dem,48.9173734306355
h0507,FR,s2012,electricity,dem,46.1610987053608
h0508,FR,s2012,electricity,dem,45.175433870196
h0509,FR,s2012,electricity,dem,47.0444613427234
h0510,FR,s2012,electricity,dem,51.3135107932729
h0511,FR,s2012,electricity,dem,55.7720162877784
h0512,FR,s2012,electricity,dem,57.7772360679982
h0513,FR,s2012,electricity,dem,58.9273459581081
h0514,FR,s2012,electricity,dem,59.1542415625036
h0515,FR,s2012,electricity,dem,59.2327305734927
h0516,FR,s2012,electricity,dem,59.2955877163498
h0517,FR,s2012,electricity,dem,57.5661701339322
h0518,FR,s2012,electricity,dem,55.4902635405256
h0519,FR,s2012,electricity,dem,53.503422881185
h0520,FR,s2012,electricity,dem,52.9429393647015
h0521,FR,s2012,electricity,dem,55.2907525515147
h0522,FR,s2012,electricity,dem,59.5614173866795
h0523,FR,s2012,electricity,dem,60.4718844196465
h0524,FR,s2012,electricity,dem,57.1692415625036
h0525,FR,s2012,electricity,dem,53.8330547493168
h0526,FR,s2012,electricity,dem,54.2237965075586
h0527,FR,s2012,electricity,dem,55.3203734306355
h0528,FR,s2012,electricity,dem,52.6385712328334
h0529,FR,s2012,electricity,dem,60.8060582819476
h0530,FR,s2012,electricity,dem,59.3166461940355
h0531,FR,s2012,electricity,dem,56.5603714687608
h0532,FR,s2012,electricity,dem,55.574706633596
h0533,FR,s2012,electricity,dem,57.4437341061234
h0534,FR,s2012,electricity,dem,61.7127835566729
