timestep_2,region_4,technology_3,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4
all,28BE,bevPsngRoadPub,capaConvResi,2.707683586,capaStInResi,2.707683586,capaStOutResi,2.707683586,capaStSizeResi,13.53841793
all,29LU,bevPsngRoadPub,capaConvResi,0.197046822,capaStInResi,0.197046822,capaStOutResi,0.197046822,capaStSizeResi,0.985234109
all,30NL,bevPsngRoadPub,capaConvResi,1.235040423,capaStInResi,1.235040423,capaStOutResi,1.235040423,capaStSizeResi,6.175202113
all,31DE,bevPsngRoadPub,capaConvResi,1.876667759,capaStInResi,1.876667759,capaStOutResi,1.876667759,capaStSizeResi,9.383338797
all,32DE,bevPsngRoadPub,capaConvResi,0.91418703,capaStInResi,0.91418703,capaStOutResi,0.91418703,capaStSizeResi,4.570935151
all,33DE,bevPsngRoadPub,capaConvResi,2.527935438,capaStInResi,2.527935438,capaStOutResi,2.527935438,capaStSizeResi,12.63967719
all,34DE,bevPsngRoadPub,capaConvResi,1.112964974,capaStInResi,1.112964974,capaStOutResi,1.112964974,capaStSizeResi,5.56482487
all,35DE,bevPsngRoadPub,capaConvResi,1.72032948,capaStInResi,1.72032948,capaStOutResi,1.72032948,capaStSizeResi,8.601647398
all,36DE,bevPsngRoadPub,capaConvResi,1.656859195,capaStInResi,1.656859195,capaStOutResi,1.656859195,capaStSizeResi,8.284295973
all,37DE,bevPsngRoadPub,capaConvResi,1.993259232,capaStInResi,1.993259232,capaStOutResi,1.993259232,capaStSizeResi,9.966296158
all,38DK,bevPsngRoadPub,capaConvResi,0.814549262,capaStInResi,0.814549262,capaStOutResi,0.814549262,capaStSizeResi,4.07274631
all,39CZ,bevPsngRoadPub,capaConvResi,1.959608983,capaStInResi,1.959608983,capaStOutResi,1.959608983,capaStSizeResi,9.798044917
all,40CZ,bevPsngRoadPub,capaConvResi,1.270842029,capaStInResi,1.270842029,capaStOutResi,1.270842029,capaStSizeResi,6.354210143
all,41PL,bevPsngRoadPub,capaConvResi,1.550246762,capaStInResi,1.550246762,capaStOutResi,1.550246762,capaStSizeResi,7.751233808
all,42PL,bevPsngRoadPub,capaConvResi,0.960147478,capaStInResi,0.960147478,capaStOutResi,0.960147478,capaStSizeResi,4.80073739
all,43PL,bevPsngRoadPub,capaConvResi,1.452195855,capaStInResi,1.452195855,capaStOutResi,1.452195855,capaStSizeResi,7.260979275
all,44PL,bevPsngRoadPub,capaConvResi,1.502580281,capaStInResi,1.502580281,capaStOutResi,1.502580281,capaStSizeResi,7.512901404
all,45PL,bevPsngRoadPub,capaConvResi,1.015551739,capaStInResi,1.015551739,capaStOutResi,1.015551739,capaStSizeResi,5.077758695
all,46SK,bevPsngRoadPub,capaConvResi,1.113525289,capaStInResi,1.113525289,capaStOutResi,1.113525289,capaStSizeResi,5.567626444
all,47CH,bevPsngRoadPub,capaConvResi,0.675968017,capaStInResi,0.675968017,capaStOutResi,0.675968017,capaStSizeResi,3.379840085
all,48CH,bevPsngRoadPub,capaConvResi,0.089153511,capaStInResi,0.089153511,capaStOutResi,0.089153511,capaStSizeResi,0.445767556
all,49AT,bevPsngRoadPub,capaConvResi,0.484333595,capaStInResi,0.484333595,capaStOutResi,0.484333595,capaStSizeResi,2.421667975
all,50AT,bevPsngRoadPub,capaConvResi,0.714464078,capaStInResi,0.714464078,capaStOutResi,0.714464078,capaStSizeResi,3.57232039
all,51AT,bevPsngRoadPub,capaConvResi,0.800597842,capaStInResi,0.800597842,capaStOutResi,0.800597842,capaStSizeResi,4.002989209
all,52IT,bevPsngRoadPub,capaConvResi,7.586367454,capaStInResi,7.586367454,capaStOutResi,7.586367454,capaStSizeResi,37.93183727
all,53IT,bevPsngRoadPub,capaConvResi,1.764071666,capaStInResi,1.764071666,capaStOutResi,1.764071666,capaStSizeResi,8.820358331
all,54IT,bevPsngRoadPub,capaConvResi,3.419734965,capaStInResi,3.419734965,capaStOutResi,3.419734965,capaStSizeResi,17.09867483
all,55IT,bevPsngRoadPub,capaConvResi,1.781159177,capaStInResi,1.781159177,capaStOutResi,1.781159177,capaStSizeResi,8.905795883
all,56IT,bevPsngRoadPub,capaConvResi,1.389057996,capaStInResi,1.389057996,capaStOutResi,1.389057996,capaStSizeResi,6.945289978
all,57SI,bevPsngRoadPub,capaConvResi,0.65354448,capaStInResi,0.65354448,capaStOutResi,0.65354448,capaStSizeResi,3.267722399
all,58HU,bevPsngRoadPub,capaConvResi,2.956923312,capaStInResi,2.956923312,capaStOutResi,2.956923312,capaStSizeResi,14.78461656
all,59RO,bevPsngRoadPub,capaConvResi,0.814363187,capaStInResi,0.814363187,capaStOutResi,0.814363187,capaStSizeResi,4.071815936
all,60RO,bevPsngRoadPub,capaConvResi,1.305288844,capaStInResi,1.305288844,capaStOutResi,1.305288844,capaStSizeResi,6.526444219
all,61RO,bevPsngRoadPub,capaConvResi,0.725432031,capaStInResi,0.725432031,capaStOutResi,0.725432031,capaStSizeResi,3.627160155
all,62HR,bevPsngRoadPub,capaConvResi,0.972886277,capaStInResi,0.972886277,capaStOutResi,0.972886277,capaStSizeResi,4.864431383
all,63BA,bevPsngRoadPub,capaConvResi,0.72410651,capaStInResi,0.72410651,capaStOutResi,0.72410651,capaStSizeResi,3.620532551
all,64ME,bevPsngRoadPub,capaConvResi,0.01791962,capaStInResi,0.01791962,capaStOutResi,0.01791962,capaStSizeResi,0.089598098
all,65RS,bevPsngRoadPub,capaConvResi,1.817450013,capaStInResi,1.817450013,capaStOutResi,1.817450013,capaStSizeResi,9.087250064
all,66BG,bevPsngRoadPub,capaConvResi,1.425089582,capaStInResi,1.425089582,capaStOutResi,1.425089582,capaStSizeResi,7.125447908
all,67MK,bevPsngRoadPub,capaConvResi,0.409638198,capaStInResi,0.409638198,capaStOutResi,0.409638198,capaStSizeResi,2.048190988
all,68GR,bevPsngRoadPub,capaConvResi,1.015585191,capaStInResi,1.015585191,capaStOutResi,1.015585191,capaStSizeResi,5.077925953
all,69GR,bevPsngRoadPub,capaConvResi,2.813066672,capaStInResi,2.813066672,capaStOutResi,2.813066672,capaStSizeResi,14.06533336
all,70AL,bevPsngRoadPub,capaConvResi,0.542361718,capaStInResi,0.542361718,capaStOutResi,0.542361718,capaStSizeResi,2.71180859
