timestep_5,region_4,carrier_1,parameter,value
h0020,05ES,electricity,dem,0.967366347590004
h0021,05ES,electricity,dem,1.01850929945932
h0022,05ES,electricity,dem,0.991551412579724
h0023,05ES,electricity,dem,1.04797579519023
h0024,05ES,electricity,dem,0.965112709012933
h0025,05ES,electricity,dem,0.913591010057766
h0026,05ES,electricity,dem,0.822797605280749
h0027,05ES,electricity,dem,0.719278393154401
h0028,05ES,electricity,dem,0.6699344812648
h0029,05ES,electricity,dem,0.588914236475095
h0030,05ES,electricity,dem,0.618200167069596
h0031,05ES,electricity,dem,0.601094896641118
h0032,05ES,electricity,dem,0.739293872001443
h0033,05ES,electricity,dem,0.716896777206515
h0034,05ES,electricity,dem,0.741883100598192
h0035,05ES,electricity,dem,0.806185903368415
h0036,05ES,electricity,dem,0.850199159138249
h0037,05ES,electricity,dem,0.970257137170867
h0038,05ES,electricity,dem,0.912025430877671
h0039,05ES,electricity,dem,0.997075346270552
h0040,05ES,electricity,dem,0.962398704088328
h0041,05ES,electricity,dem,0.977325994579518
h0042,05ES,electricity,dem,0.969106900469333
h0043,05ES,electricity,dem,0.868999518644096
h0044,05ES,electricity,dem,0.876673401694071
h0045,05ES,electricity,dem,0.809826691918084
h0046,05ES,electricity,dem,0.937890739252642
h0047,05ES,electricity,dem,0.934533196891101
h0048,05ES,electricity,dem,0.956338849109344
h0049,05ES,electricity,dem,0.880349052761492
h0050,05ES,electricity,dem,0.771893988591131
h0051,05ES,electricity,dem,0.711640699996661
h0052,05ES,electricity,dem,0.618833962168092
h0053,05ES,electricity,dem,0.636575975310906
h0054,05ES,electricity,dem,0.608833287109929
h0055,05ES,electricity,dem,0.684102656893883
h0056,05ES,electricity,dem,0.752323427376397
h0057,05ES,electricity,dem,0.851694636380145
h0058,05ES,electricity,dem,0.935001778881655
h0059,05ES,electricity,dem,0.879209479673223
h0060,05ES,electricity,dem,0.922738934828219
h0061,05ES,electricity,dem,0.874577633466547
h0062,05ES,electricity,dem,1.0020161179017
h0063,05ES,electricity,dem,0.992264207920823
h0064,05ES,electricity,dem,1.02675405487018
h0065,05ES,electricity,dem,0.991608327280523
h0066,05ES,electricity,dem,0.85080906936348
h0067,05ES,electricity,dem,0.837144457570425
h0068,05ES,electricity,dem,0.743100282673715
h0069,05ES,electricity,dem,0.866349133775983
h0070,05ES,electricity,dem,0.859786150699992
h0071,05ES,electricity,dem,0.930094586643925
h0072,05ES,electricity,dem,0.89550125338627
h0073,05ES,electricity,dem,0.807016993812651
h0074,05ES,electricity,dem,0.719294370480259
h0075,05ES,electricity,dem,0.610148662732346
h0076,05ES,electricity,dem,0.588835555470895
h0077,05ES,electricity,dem,0.527447270444388
h0078,05ES,electricity,dem,0.574271455540954
h0079,05ES,electricity,dem,0.628834402269874
h0080,05ES,electricity,dem,0.710381055238194
h0081,05ES,electricity,dem,0.816915366391799
h0082,05ES,electricity,dem,0.772941193036551
h0083,05ES,electricity,dem,0.864384529718851
h0084,05ES,electricity,dem,0.832657470226737
h0085,05ES,electricity,dem,0.987589694402835
h0086,05ES,electricity,dem,0.992961742283417
h0087,05ES,electricity,dem,1.04298018105055
h0088,05ES,electricity,dem,1.0130876373977
h0089,05ES,electricity,dem,0.878387179563008
h0090,05ES,electricity,dem,0.874640494667703
h0091,05ES,electricity,dem,0.796390154199878
h0092,05ES,electricity,dem,0.921640747328538
h0093,05ES,electricity,dem,0.954961169714614
h0094,05ES,electricity,dem,1.05671168337155
h0095,05ES,electricity,dem,1.0436730182816
h0096,05ES,electricity,dem,0.938500683788033
h0097,05ES,electricity,dem,0.83811053178036
h0098,05ES,electricity,dem,0.722354645218985
h0099,05ES,electricity,dem,0.694526519958538
h0100,05ES,electricity,dem,0.638295618984537
h0101,05ES,electricity,dem,0.606081946337809
h0102,05ES,electricity,dem,0.610903348682727
h0103,05ES,electricity,dem,0.647509734171303
h0104,05ES,electricity,dem,0.78366302098094
h0105,05ES,electricity,dem,0.740110418282941
h0106,05ES,electricity,dem,0.861843805736429
h0107,05ES,electricity,dem,0.847087258192889
h0108,05ES,electricity,dem,1.01834113250826
h0109,05ES,electricity,dem,1.02541433998304
h0110,05ES,electricity,dem,1.07804184647225
h0111,05ES,electricity,dem,1.05321335465172
h0112,05ES,electricity,dem,0.936785402756246
h0113,05ES,electricity,dem,0.900353993401653
h0114,05ES,electricity,dem,0.830008497406891
h0115,05ES,electricity,dem,0.979765087733361
h0116,05ES,electricity,dem,1.03543285031999
h0117,05ES,electricity,dem,1.12518724451152
h0118,05ES,electricity,dem,1.09469808329802
h0119,05ES,electricity,dem,0.979831448873839
h0120,05ES,electricity,dem,0.870735619768514
h0001,06ES,electricity,dem,4.3323150714354
h0002,06ES,electricity,dem,4.27081645934375
h0003,06ES,electricity,dem,4.01077805562321
h0004,06ES,electricity,dem,3.67817960220215
