timestep_3,region_1,scenario_1,technology_1,parameter,value
h0397,NL,s1996,wind,avaConv,0.147641578774873
h0398,NL,s1996,wind,avaConv,0.108848617179316
h0399,NL,s1996,wind,avaConv,0.073904054218
h0400,NL,s1996,wind,avaConv,0.0481368487328348
h0401,NL,s1996,wind,avaConv,0.0476012020110664
h0402,NL,s1996,wind,avaConv,0.0609403139538435
h0403,NL,s1996,wind,avaConv,0.0861295439909261
h0404,NL,s1996,wind,avaConv,0.107247180520291
h0405,NL,s1996,wind,avaConv,0.116774548387672
h0406,NL,s1996,wind,avaConv,0.124496709601238
h0407,NL,s1996,wind,avaConv,0.102749911148646
h0408,NL,s1996,wind,avaConv,0.0755270969866625
h0409,NL,s1996,wind,avaConv,0.0565957438498263
h0410,NL,s1996,wind,avaConv,0.0495709478177975
h0411,NL,s1996,wind,avaConv,0.0548641515854574
h0412,NL,s1996,wind,avaConv,0.0737047975485104
h0413,NL,s1996,wind,avaConv,0.0911911685852292
h0414,NL,s1996,wind,avaConv,0.110078692685967
h0415,NL,s1996,wind,avaConv,0.13430650038562
h0416,NL,s1996,wind,avaConv,0.149515619597156
h0417,NL,s1996,wind,avaConv,0.166636354402763
h0418,NL,s1996,wind,avaConv,0.193130455902199
h0419,NL,s1996,wind,avaConv,0.205653699720046
h0420,NL,s1996,wind,avaConv,0.196569675660249
h0421,NL,s1996,wind,avaConv,0.164906416783864
h0422,NL,s1996,wind,avaConv,0.134263040415827
h0423,NL,s1996,wind,avaConv,0.110100624305963
h0424,NL,s1996,wind,avaConv,0.0752333780386685
h0425,NL,s1996,wind,avaConv,0.0949111706328412
h0426,NL,s1996,wind,avaConv,0.124411200681077
h0427,NL,s1996,wind,avaConv,0.144975882267235
h0428,NL,s1996,wind,avaConv,0.15627414078216
h0429,NL,s1996,wind,avaConv,0.156873488146327
h0430,NL,s1996,wind,avaConv,0.147979006137588
h0431,NL,s1996,wind,avaConv,0.125648601228016
h0432,NL,s1996,wind,avaConv,0.110110295105296
h0433,NL,s1996,wind,avaConv,0.108494413372437
h0434,NL,s1996,wind,avaConv,0.119068117841076
h0435,NL,s1996,wind,avaConv,0.132379034078716
h0436,NL,s1996,wind,avaConv,0.158454918374342
h0437,NL,s1996,wind,avaConv,0.198132744369992
h0438,NL,s1996,wind,avaConv,0.244664136791388
h0439,NL,s1996,wind,avaConv,0.283437044215584
h0440,NL,s1996,wind,avaConv,0.306465051663691
h0441,NL,s1996,wind,avaConv,0.33667212509673
h0442,NL,s1996,wind,avaConv,0.380349415643302
h0443,NL,s1996,wind,avaConv,0.395622988398028
h0444,NL,s1996,wind,avaConv,0.399344407527757
h0445,NL,s1996,wind,avaConv,0.406002117333169
h0446,NL,s1996,wind,avaConv,0.425518562242173
h0447,NL,s1996,wind,avaConv,0.45631366869153
h0448,NL,s1996,wind,avaConv,0.387120213922717
h0449,NL,s1996,wind,avaConv,0.362325969548678
h0450,NL,s1996,wind,avaConv,0.465466091642144
h0451,NL,s1996,wind,avaConv,0.545840188742567
h0452,NL,s1996,wind,avaConv,0.604551097361844
h0453,NL,s1996,wind,avaConv,0.63818464013423
h0454,NL,s1996,wind,avaConv,0.666477036475975
h0455,NL,s1996,wind,avaConv,0.675137634462929
h0456,NL,s1996,wind,avaConv,0.677295392523435
h0457,NL,s1996,wind,avaConv,0.681695661416681
h0458,NL,s1996,wind,avaConv,0.711665378607167
h0459,NL,s1996,wind,avaConv,0.761496156597671
h0460,NL,s1996,wind,avaConv,0.804539603812964
h0461,NL,s1996,wind,avaConv,0.819033599476203
h0462,NL,s1996,wind,avaConv,0.83284080209582
h0463,NL,s1996,wind,avaConv,0.858234327659597
h0464,NL,s1996,wind,avaConv,0.862088845015597
h0465,NL,s1996,wind,avaConv,0.889944796256231
h0466,NL,s1996,wind,avaConv,0.928563058030785
h0467,NL,s1996,wind,avaConv,0.948572746902714
h0468,NL,s1996,wind,avaConv,0.954222940904402
h0469,NL,s1996,wind,avaConv,0.954775350219886
h0470,NL,s1996,wind,avaConv,0.96124598073718
h0471,NL,s1996,wind,avaConv,0.95948412259758
h0472,NL,s1996,wind,avaConv,0.91668093125043
h0473,NL,s1996,wind,avaConv,0.884026294381972
h0474,NL,s1996,wind,avaConv,0.913390012194323
h0475,NL,s1996,wind,avaConv,0.91360145198463
h0476,NL,s1996,wind,avaConv,0.915516604380515
h0477,NL,s1996,wind,avaConv,0.917002109529727
