timestep_3,region_4,carrier_1,parameter,value
d008,50AT,psngRoadPub,mustOut,0.5444055773782557
d001,51AT,psngRoadPub,mustOut,0.5844037746496814
d002,51AT,psngRoadPub,mustOut,0.5230999582646564
d003,51AT,psngRoadPub,mustOut,0.6314836024999999
d004,51AT,psngRoadPub,mustOut,0.5037631413056586
d005,51AT,psngRoadPub,mustOut,0.5346822701459116
d006,51AT,psngRoadPub,mustOut,0.4682740456565975
d007,51AT,psngRoadPub,mustOut,0.5062205098433871
d008,51AT,psngRoadPub,mustOut,0.5444055773782557
d001,52IT,psngRoadPub,mustOut,0.5844037746496814
d002,52IT,psngRoadPub,mustOut,0.5230999582646564
d003,52IT,psngRoadPub,mustOut,0.6314836024999999
d004,52IT,psngRoadPub,mustOut,0.5037631413056586
d005,52IT,psngRoadPub,mustOut,0.5346822701459116
d006,52IT,psngRoadPub,mustOut,0.4682740456565975
d007,52IT,psngRoadPub,mustOut,0.5062205098433871
d008,52IT,psngRoadPub,mustOut,0.5444055773782557
d001,53IT,psngRoadPub,mustOut,0.5844037746496814
d002,53IT,psngRoadPub,mustOut,0.5230999582646564
d003,53IT,psngRoadPub,mustOut,0.6314836024999999
d004,53IT,psngRoadPub,mustOut,0.5037631413056586
d005,53IT,psngRoadPub,mustOut,0.5346822701459116
d006,53IT,psngRoadPub,mustOut,0.4682740456565975
d007,53IT,psngRoadPub,mustOut,0.5062205098433871
d008,53IT,psngRoadPub,mustOut,0.5444055773782557
d001,54IT,psngRoadPub,mustOut,0.5844037746496814
d002,54IT,psngRoadPub,mustOut,0.5230999582646564
d003,54IT,psngRoadPub,mustOut,0.6314836024999999
d004,54IT,psngRoadPub,mustOut,0.5037631413056586
d005,54IT,psngRoadPub,mustOut,0.5346822701459116
d006,54IT,psngRoadPub,mustOut,0.4682740456565975
d007,54IT,psngRoadPub,mustOut,0.5062205098433871
d008,54IT,psngRoadPub,mustOut,0.5444055773782557
d001,55IT,psngRoadPub,mustOut,0.5844037746496814
d002,55IT,psngRoadPub,mustOut,0.5230999582646564
d003,55IT,psngRoadPub,mustOut,0.6314836024999999
d004,55IT,psngRoadPub,mustOut,0.5037631413056586
d005,55IT,psngRoadPub,mustOut,0.5346822701459116
d006,55IT,psngRoadPub,mustOut,0.4682740456565975
d007,55IT,psngRoadPub,mustOut,0.5062205098433871
d008,55IT,psngRoadPub,mustOut,0.5444055773782557
d001,56IT,psngRoadPub,mustOut,0.5844037746496814
d002,56IT,psngRoadPub,mustOut,0.5230999582646564
d003,56IT,psngRoadPub,mustOut,0.6314836024999999
d004,56IT,psngRoadPub,mustOut,0.5037631413056586
d005,56IT,psngRoadPub,mustOut,0.5346822701459116
d006,56IT,psngRoadPub,mustOut,0.4682740456565975
d007,56IT,psngRoadPub,mustOut,0.5062205098433871
d008,56IT,psngRoadPub,mustOut,0.5444055773782557
d001,57SI,psngRoadPub,mustOut,0.5844037746496814
d002,57SI,psngRoadPub,mustOut,0.5230999582646564
d003,57SI,psngRoadPub,mustOut,0.6314836024999999
d004,57SI,psngRoadPub,mustOut,0.5037631413056586
d005,57SI,psngRoadPub,mustOut,0.5346822701459116
d006,57SI,psngRoadPub,mustOut,0.4682740456565975
d007,57SI,psngRoadPub,mustOut,0.5062205098433871
d008,57SI,psngRoadPub,mustOut,0.5444055773782557
d001,58HU,psngRoadPub,mustOut,0.5844037746496814
d002,58HU,psngRoadPub,mustOut,0.5230999582646564
