timestep_3,timestep_5,region_4,technology_3,parameter,value
d003,h0071,02ES,bevPsngRoadPub,avaConv,0.223662173254039
d003,h0072,02ES,bevPsngRoadPub,avaConv,0.141789329402217
d004,h0073,02ES,bevPsngRoadPub,avaConv,0.0802407050000027
d004,h0074,02ES,bevPsngRoadPub,avaConv,0.183569842859675
d004,h0075,02ES,bevPsngRoadPub,avaConv,0.288409459150144
d004,h0076,02ES,bevPsngRoadPub,avaConv,0.377490359707494
d004,h0077,02ES,bevPsngRoadPub,avaConv,0.403657868845574
d004,h0078,02ES,bevPsngRoadPub,avaConv,0.399931549050226
d004,h0079,02ES,bevPsngRoadPub,avaConv,0.405115255397273
d004,h0080,02ES,bevPsngRoadPub,avaConv,0.419858976178417
d004,h0081,02ES,bevPsngRoadPub,avaConv,0.43505571769015
d004,h0082,02ES,bevPsngRoadPub,avaConv,0.434443250532857
d004,h0083,02ES,bevPsngRoadPub,avaConv,0.444056923621991
d004,h0084,02ES,bevPsngRoadPub,avaConv,0.449193449593084
d004,h0085,02ES,bevPsngRoadPub,avaConv,0.450511314459861
d004,h0086,02ES,bevPsngRoadPub,avaConv,0.433423608247063
d004,h0087,02ES,bevPsngRoadPub,avaConv,0.41063099936091
d004,h0088,02ES,bevPsngRoadPub,avaConv,0.374153806413464
d004,h0089,02ES,bevPsngRoadPub,avaConv,0.333891577382895
d004,h0090,02ES,bevPsngRoadPub,avaConv,0.368136661377962
d004,h0091,02ES,bevPsngRoadPub,avaConv,0.426777266043508
d004,h0092,02ES,bevPsngRoadPub,avaConv,0.49831943564109
d004,h0093,02ES,bevPsngRoadPub,avaConv,0.517877654581982
d004,h0094,02ES,bevPsngRoadPub,avaConv,0.520432728664462
d004,h0095,02ES,bevPsngRoadPub,avaConv,0.512547805179597
d004,h0096,02ES,bevPsngRoadPub,avaConv,0.493660202044773
d005,h0097,02ES,bevPsngRoadPub,avaConv,0.47136226169
d005,h0098,02ES,bevPsngRoadPub,avaConv,0.447698894987261
d005,h0099,02ES,bevPsngRoadPub,avaConv,0.425803437883966
d005,h0100,02ES,bevPsngRoadPub,avaConv,0.391907184505677
d005,h0101,02ES,bevPsngRoadPub,avaConv,0.370438030464012
d005,h0102,02ES,bevPsngRoadPub,avaConv,0.351964121020942
d005,h0103,02ES,bevPsngRoadPub,avaConv,0.34333874135746
d005,h0104,02ES,bevPsngRoadPub,avaConv,0.345571757290506
d005,h0105,02ES,bevPsngRoadPub,avaConv,0.404281042015127
d005,h0106,02ES,bevPsngRoadPub,avaConv,0.473712757141833
d005,h0107,02ES,bevPsngRoadPub,avaConv,0.523998454992729
d005,h0108,02ES,bevPsngRoadPub,avaConv,0.517766639621141
d005,h0109,02ES,bevPsngRoadPub,avaConv,0.496722195673624
d005,h0110,02ES,bevPsngRoadPub,avaConv,0.455116348692656
d005,h0111,02ES,bevPsngRoadPub,avaConv,0.417594601907088
d005,h0112,02ES,bevPsngRoadPub,avaConv,0.379944031143221
d005,h0113,02ES,bevPsngRoadPub,avaConv,0.35607960730308
d005,h0114,02ES,bevPsngRoadPub,avaConv,0.329285344820764
d005,h0115,02ES,bevPsngRoadPub,avaConv,0.321648887208143
d005,h0116,02ES,bevPsngRoadPub,avaConv,0.316514282725886
d005,h0117,02ES,bevPsngRoadPub,avaConv,0.30219488700041
d005,h0118,02ES,bevPsngRoadPub,avaConv,0.269060834971548
d005,h0119,02ES,bevPsngRoadPub,avaConv,0.225989929341963
d005,h0120,02ES,bevPsngRoadPub,avaConv,0.203135662893236
d006,h0121,02ES,bevPsngRoadPub,avaConv,0.233984810700738
d006,h0122,02ES,bevPsngRoadPub,avaConv,0.267124602967492
d006,h0123,02ES,bevPsngRoadPub,avaConv,0.298676332985468
d006,h0124,02ES,bevPsngRoadPub,avaConv,0.328185096619853
d006,h0125,02ES,bevPsngRoadPub,avaConv,0.354854649662018
d006,h0126,02ES,bevPsngRoadPub,avaConv,0.395125358026531
d006,h0127,02ES,bevPsngRoadPub,avaConv,0.417687074706519
d006,h0128,02ES,bevPsngRoadPub,avaConv,0.457685865365135
d006,h0129,02ES,bevPsngRoadPub,avaConv,0.48543725506487
d006,h0130,02ES,bevPsngRoadPub,avaConv,0.502739900052949
d006,h0131,02ES,bevPsngRoadPub,avaConv,0.488933782679889
d006,h0132,02ES,bevPsngRoadPub,avaConv,0.481779795546419
d006,h0133,02ES,bevPsngRoadPub,avaConv,0.466643386701159
d006,h0134,02ES,bevPsngRoadPub,avaConv,0.441933974310349
d006,h0135,02ES,bevPsngRoadPub,avaConv,0.401566881267358
d006,h0136,02ES,bevPsngRoadPub,avaConv,0.355808768378172
d006,h0137,02ES,bevPsngRoadPub,avaConv,0.34392214852426
d006,h0138,02ES,bevPsngRoadPub,avaConv,0.315434894785447
d006,h0139,02ES,bevPsngRoadPub,avaConv,0.343684449604183
d006,h0140,02ES,bevPsngRoadPub,avaConv,0.372469362560897
d006,h0141,02ES,bevPsngRoadPub,avaConv,0.402311836847291
d006,h0142,02ES,bevPsngRoadPub,avaConv,0.400069264603687
d006,h0143,02ES,bevPsngRoadPub,avaConv,0.384587163984345
d006,h0144,02ES,bevPsngRoadPub,avaConv,0.374872288528503
d007,h0145,02ES,bevPsngRoadPub,avaConv,0.358006489326886
d007,h0146,02ES,bevPsngRoadPub,avaConv,0.354445421708262
d007,h0147,02ES,bevPsngRoadPub,avaConv,0.368210673319393
d007,h0148,02ES,bevPsngRoadPub,avaConv,0.403582599009985
d007,h0149,02ES,bevPsngRoadPub,avaConv,0.411277173146382
d007,h0150,02ES,bevPsngRoadPub,avaConv,0.404531608763996
d007,h0151,02ES,bevPsngRoadPub,avaConv,0.376097435506843
d007,h0152,02ES,bevPsngRoadPub,avaConv,0.364145316208552
d007,h0153,02ES,bevPsngRoadPub,avaConv,0.354305131610143
d007,h0154,02ES,bevPsngRoadPub,avaConv,0.340797939928201
d007,h0155,02ES,bevPsngRoadPub,avaConv,0.354184385336897
d007,h0156,02ES,bevPsngRoadPub,avaConv,0.354378544198726
d007,h0157,02ES,bevPsngRoadPub,avaConv,0.360225420581651
d007,h0158,02ES,bevPsngRoadPub,avaConv,0.321535591158602
d007,h0159,02ES,bevPsngRoadPub,avaConv,0.341062839589438
d007,h0160,02ES,bevPsngRoadPub,avaConv,0.36566514106974
d007,h0161,02ES,bevPsngRoadPub,avaConv,0.421167635089423
d007,h0162,02ES,bevPsngRoadPub,avaConv,0.399419073440932
d007,h0163,02ES,bevPsngRoadPub,avaConv,0.424059630647888
d007,h0164,02ES,bevPsngRoadPub,avaConv,0.439585905366721
d007,h0165,02ES,bevPsngRoadPub,avaConv,0.457724847322254
d007,h0166,02ES,bevPsngRoadPub,avaConv,0.406530793922156
d007,h0167,02ES,bevPsngRoadPub,avaConv,0.350759718645311
d007,h0168,02ES,bevPsngRoadPub,avaConv,0.337878739828619
d008,h0169,02ES,bevPsngRoadPub,avaConv,0.3345689965128475
d008,h0170,02ES,bevPsngRoadPub,avaConv,0.3423863914437164
d008,h0171,02ES,bevPsngRoadPub,avaConv,0.33658680956078424
d008,h0172,02ES,bevPsngRoadPub,avaConv,0.3647289746298561
d008,h0173,02ES,bevPsngRoadPub,avaConv,0.3486675175027515
d008,h0174,02ES,bevPsngRoadPub,avaConv,0.35444905924588893
d008,h0175,02ES,bevPsngRoadPub,avaConv,0.3513649334688009
d008,h0176,02ES,bevPsngRoadPub,avaConv,0.39592355299046095
d008,h0177,02ES,bevPsngRoadPub,avaConv,0.429130509858318
d008,h0178,02ES,bevPsngRoadPub,avaConv,0.428805204791707
d008,h0179,02ES,bevPsngRoadPub,avaConv,0.3623847409982112
d008,h0180,02ES,bevPsngRoadPub,avaConv,0.3397340537249335
d008,h0181,02ES,bevPsngRoadPub,avaConv,0.3139028962100463
d008,h0182,02ES,bevPsngRoadPub,avaConv,0.34175296043646575
d008,h0183,02ES,bevPsngRoadPub,avaConv,0.2892490515672374
d008,h0184,02ES,bevPsngRoadPub,avaConv,0.2265159281730086
d008,h0185,02ES,bevPsngRoadPub,avaConv,0.17269822248281194
d008,h0186,02ES,bevPsngRoadPub,avaConv,0.1745163555141547
d008,h0187,02ES,bevPsngRoadPub,avaConv,0.2131365022610671
d008,h0188,02ES,bevPsngRoadPub,avaConv,0.2619680169552356
d008,h0189,02ES,bevPsngRoadPub,avaConv,0.2861020270559709
d008,h0190,02ES,bevPsngRoadPub,avaConv,0.30646581634274694
d008,h0191,02ES,bevPsngRoadPub,avaConv,0.25068316559747306
d008,h0192,02ES,bevPsngRoadPub,avaConv,0.18177787712671795
d001,h0001,03ES,bevPsngRoadPub,avaConv,0.364036472541741
d001,h0002,03ES,bevPsngRoadPub,avaConv,0.365381951680544
d001,h0003,03ES,bevPsngRoadPub,avaConv,0.401517893224437
d001,h0004,03ES,bevPsngRoadPub,avaConv,0.457761134814021
d001,h0005,03ES,bevPsngRoadPub,avaConv,0.517187520250949
d001,h0006,03ES,bevPsngRoadPub,avaConv,0.544823192000004
d001,h0007,03ES,bevPsngRoadPub,avaConv,0.53895718420946
d001,h0008,03ES,bevPsngRoadPub,avaConv,0.526582020781395
d001,h0009,03ES,bevPsngRoadPub,avaConv,0.508325011494557
d001,h0010,03ES,bevPsngRoadPub,avaConv,0.496434844103067
